id,item,selling
0,MattressFirm Queen Mattres,$190
1,Dining Table and Chair Set,$200
2,Bar Cabinet,$100
3,(sold) Gaming Desk Chair (extends fully with leg cushion),$130
4,Queen Bed Stand/Frame,$80
5,(sold) L-shaped Desk with Shelves,$100
6,(sold) Monitor (can make vertical) + HDMI,$90
7,Outdoors Chairs + Side Table (weatherproof),$100
8,Outdoor Weatherproof Heater 1 (up to 1500W),$40
9,Outdoor Weatherproof Heater 2 (up to 1500W),$40
10,Simple and Firm Desk,$40
11,(sold) Guitar + Guitar Stand + Pick,$60
12,Poker Set,$40
13,Codenames,$40
14,Netgear Nighthawk Giganet Router,$80
15,Vintage Wooden Night Stand,$30
16,Runner Rug,$40
17,(sold) Instant Pot,$45
18,Room Heater 1 (up to 1500W),$15
19,Room Heater 2 (up to 1500W),$15
20,TV Stand,$50
21,Electric Grill (dishwasher safe),$40
22,(sold) Triangle Wall Shelves,$25
23,(sold) Plush Bath Rug 1,$10
24,Plush Bath Rug 2,$7
25,Under the Sink Dustbin,$30
26,(sold) Shoe Rack with Cushion,$30
27,(sold) Side Table 1,$15
28,(sold) Side Table 2,$15
29,(sold) Bar Stool 1,$15
30,(sold) Bar Stool 2,$15
31,(sold) Lamp with Shelves,$15
32,Closet Shelf,$15
33,Smart Wifi Plugs x2 (Alexa/Google),$15
35,Conair Hairdryer (new),$15
36,(sold) Wooden Shoe Rack,$15
37,Simple Armless Chair,$15
38,(sold) Knife Set,$25
39,Pots and Pans,$25
40,(sold) Shelf with Compartments,$20
41,Regular Pillows x2,$10
44,Big Pillows x2,$10
42,(sold) Canvas Mountain Wall Art,$10
43,Remote Control RGB Lights,$10
45,Hangers x30,$5
46,Floor Lamp 1,$5
47,Floor Lamp 2,$5
116,(sold) Wine and Beer Glasses,$10
48,(sold) Cracking the Coding Interview Book,$10
49,(sold) Scented Candles x6,$10
50,(sold) Power Extension 1,$5
51,(sold) Power Extension 2,$5
52,Bulbs x4,$15
53,(sold) Whiteboard + Markers,$15
54,(sold) Water Filter Brita,$15
55,Cool Bar Stool,$15
56,Landscape Painting,$15
57,(sold) Coffee Maker,$10
58,Outdoor Weatherproof Rug,$10
59,(sold) Big Stone Jar,$10
96,(sold) Small Stone Jar,$4
60,Wooden Entry Counter,$10
61,(sold) Digital Clock,$5
63,Portable Lamp,$5
64,(sold) Digital Weighing Scale,$5
66,Mirrors x2,$5
67,(sold) Plastic Drawer Chest,$5
68,Toilet Rug,$5
69,(sold) Shower Curtain + Hooks,$8
70,(sold) Grey Runner Rug,$5
71,Belt Hanger,$4
72,Headphone Holder,$3
74,Hand Towel + Basket,$3
75,Closet Organizer,$3
76,Workout Bands,$3
77,Triple Power Outlets,$3
78,Tub Mat,$1
79,Vase,$3
80,Mouse Pad ,$3
81,Extension Cord with USB,$3
117,(sold) Toaster,$5
118,Cutlery Sorter,$5
119,Can Opener,$2
120,(sold) Fruit Basket,$3
82,Chair Raisers,$5
83,(sold) Ironing Board + Steam Iron,$10
84,Glasses Set,$5
85,Floor Lamp 3,$5
86,(sold) Dishes Set,$5
87,Oven Tray + Paper,$5
88,Mirror Decor,$5
89,Chopping Board,$5
90,Butter Box + Butter Knife,$5
91,Whiskey Ice Cube Tray,$5
92,Revolving Party Lights,$5
93,Wooden Chopping Board,$5
94,(sold) Really Long Extension Cord,$5
95,Really long Extension Cord,$4
97,Storage Containers,$4
98,Tongs x2,$4
99,Under Desk Bin 1,$2
100,(sold) Under Desk Bin 2,$2
101,(sold) Laundry Basket,$2
102,(sold) Cleaning Broom,$2
103,(sold) Paper Towel Stand,$3
104,(sold) Peeler,$3
105,(sold) Broomstick + dustpan,$4
106,(sold) Coasters,$3
107,(sold) Garlic Press,$2
108,Strainers x2,$2
109,Plush Pillow,$1
110,Pens/Pencil,$1
111,(sold) Olive Oil Bottle,$1
112,Corkscrew,$2
113,Tall Cups,$1
114,Measuring Cups,$1
115,(sold) Metal Ashtray,$1
